[	ItemLeftMatMeta
X	ItemVar
(	ItemLeftIdxMeta
7	ItemNumber
)	ItemRightIdxMeta
;	ItemSemiSep
X	ItemVar
(	ItemLeftIdxMeta
8	ItemNumber
)	ItemRightIdxMeta
;	ItemSemiSep
X	ItemVar
(	ItemLeftIdxMeta
9	ItemNumber
)	ItemRightIdxMeta
;	ItemSemiSep
X	ItemVar
(	ItemLeftIdxMeta
10	ItemNumber
)	ItemRightIdxMeta
;	ItemSemiSep
X	ItemVar
(	ItemLeftIdxMeta
11	ItemNumber
)	ItemRightIdxMeta
;	ItemSemiSep
X	ItemVar
(	ItemLeftIdxMeta
12	ItemNumber
)	ItemRightIdxMeta
;	ItemSemiSep
(	ItemLeftPemdas
U	ItemVar
(	ItemLeftIdxMeta
1	ItemNumber
)	ItemRightIdxMeta
*	ItemOperator
sin	ItemFunc
(	ItemLeftFuncMeta
U	ItemVar
(	ItemLeftIdxMeta
2	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
(	ItemLeftPemdas
cos	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
4	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
sin	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
6	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
-	ItemOperator
cos	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
6	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
sin	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
4	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
sin	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
5	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
)	ItemRightPemdas
)	ItemRightPemdas
/	ItemOperator
4	ItemNumber
+	ItemOperator
(	ItemLeftPemdas
U	ItemVar
(	ItemLeftIdxMeta
1	ItemNumber
)	ItemRightIdxMeta
*	ItemOperator
cos	ItemFunc
(	ItemLeftFuncMeta
U	ItemVar
(	ItemLeftIdxMeta
3	ItemNumber
)	ItemRightIdxMeta
+	ItemOperator
U	ItemVar
(	ItemLeftIdxMeta
2	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
(	ItemLeftPemdas
sin	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
4	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
sin	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
6	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
+	ItemOperator
cos	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
4	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
cos	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
6	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
sin	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
5	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
)	ItemRightPemdas
)	ItemRightPemdas
/	ItemOperator
4	ItemNumber
+	ItemOperator
(	ItemLeftPemdas
U	ItemVar
(	ItemLeftIdxMeta
1	ItemNumber
)	ItemRightIdxMeta
*	ItemOperator
cos	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
5	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
cos	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
6	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
sin	ItemFunc
(	ItemLeftFuncMeta
U	ItemVar
(	ItemLeftIdxMeta
3	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
)	ItemRightPemdas
/	ItemOperator
4	ItemNumber
;	ItemSemiSep
(	ItemLeftPemdas
U	ItemVar
(	ItemLeftIdxMeta
1	ItemNumber
)	ItemRightIdxMeta
*	ItemOperator
cos	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
5	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
sin	ItemFunc
(	ItemLeftFuncMeta
X	ItemVar
(	ItemLeftIdxMeta
6	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
*	ItemOperator
sin	ItemFunc
(	ItemLeftFuncMeta
U	ItemVar
(	ItemLeftIdxMeta
3	ItemNumber
)	ItemRightIdxMeta
)	ItemRightFuncMeta
)	ItemRightPemdas
/	ItemOperator
4	ItemNumber
-	ItemOperator
(	ItemLeftPemdas
U	ItemVar
(	ItemLeftIdxMeta
1	ItemNumber
)	ItemRightIdxMeta
*	ItemOperator
